Ox	1.92781  0.0178092  0.0221908	-0.470218  0.279782  0.120218	0.134896  0.327998  0.327951
R	1.92781  0.0178092  0.0221908	-0.470218  0.279782  0.120218	-0.188827  0.109563  0.109563
T	1.92781  0.0178092  0.0221908	-0.470218  0.279782  0.120218	0.191184  0.29778  0.0306704
Oz	1.92781  0.0178092  0.0221908	-0.470218  0.279782  0.120218	-0.357337  0.334169  0.334486
B	1.92824  0.0182407  0.0217593	-0.238824  0.111176  0.0888244	0.564617  0.0210932  0.0213099
Ox	1.92824  0.0182407  0.0217593	-0.238824  0.111176  0.0888244	0.147076  0.256689  0.256807
R	1.92824  0.0182407  0.0217593	-0.238824  0.111176  0.0888244	0.0278792  0.0553642  0.0553642
T	1.92824  0.0182407  0.0217593	-0.238824  0.111176  0.0888244	-0.181539  0.0187144  0.134666
Oz	1.92824  0.0182407  0.0217593	-0.238824  0.111176  0.0888244	-0.5289  0.251841  0.251606
B	1.92857  0.0185733  0.0214267	-0.0441925  0.105807  0.0941925	0.588029  0.0175487  0.0176823
Ox	1.92857  0.0185733  0.0214267	-0.0441925  0.105807  0.0941925	-0.101307  0.193831  0.193883
R	1.92857  0.0185733  0.0214267	-0.0441925  0.105807  0.0941925	0.182686  0.0535352  0.0535352
T	1.92857  0.0185733  0.0214267	-0.0441925  0.105807  0.0941925	-0.2334  0.0669485  0.19045
Oz	1.92857  0.0185733  0.0214267	-0.0441925  0.105807  0.0941925	-0.449259  0.188905  0.18886
B	1.92843  0.0184258  0.0215742	0.16247  0.11247  0.0875304	0.488922  0.0155437  0.0155437
Ox	1.92843  0.0184258  0.0215742	0.16247  0.11247  0.0875304	-0.438068  0.0369525  0.0369525
R	1.92843  0.0184258  0.0215742	0.16247  0.11247  0.0875304	0.374576  0.0525837  0.0525837
T	1.92843  0.0184258  0.0215742	0.16247  0.11247  0.0875304	-0.181684  0.0280537  0.0280537
Oz	1.92843  0.0184258  0.0215742	0.16247  0.11247  0.0875304	-0.648717  0.00723582  0.00723582
B	1.92861  0.0186063  0.0213937	0.347919  0.0979191  0.102081	0.454528  0.0142341  0.0143663
Ox	1.92861  0.0186063  0.0213937	0.347919  0.0979191  0.102081	-0.397368  0.1699  0.170118
R	1.92861  0.0186063  0.0213937	0.347919  0.0979191  0.102081	0.541281  0.0483176  0.0483176
T	1.92861  0.0186063  0.0213937	0.347919  0.0979191  0.102081	-0.180896  0.0141548  0.0636965
Oz	1.92861  0.0186063  0.0213937	0.347919  0.0979191  0.102081	-0.128007  0.163304  0.163373
B	1.92892  0.0189219  0.0210781	0.552135  0.102135  0.097865	0.334489  0.00485078  0.00485078
Ox	1.92892  0.0189219  0.0210781	0.552135  0.102135  0.097865	-0.345129  0.374347  0.374347
R	1.92892  0.0189219  0.0210781	0.552135  0.102135  0.097865	0.667368  0.0470132  0.0470132
T	1.92892  0.0189219  0.0210781	0.552135  0.102135  0.097865	-0.538766  0.0113859  0.0113859
Oz	1.92892  0.0189219  0.0210781	0.552135  0.102135  0.097865	-0.311339  0.412081  0.412081
B	1.92906  0.019061  0.020939	0.735846  0.0858459  0.114154	0.257407  0.0223566  0.0224251
